Inventario,Localizzazione,Collocazione,Tipo di documento,Autore,Titolo,Luogo,Editore,Anno,Note,ISBN,CDD,Descrizione CDD,Curatore,Traduttore,Lingua
,Polo Liceale,armadio 12,volume,---,"1. L'universo : 1. La nascita e l'evoluzione dell'universo, il cielo, le galassie, le stelle",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,503 SCI 1.1,,,,
,Polo Liceale,armadio 12,volume,---,"2. L' universo : 2. Il sistema solare, l'osservazione e l'esplorazione dello spazio",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,504 SCI 1.2,,,,
,Polo Liceale,armadio 12,volume,---,"3. La terra : 1. La nascita dei pianeti e della terra, i terremoti, i vulcani, gli oceani",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,505 SCI 1.3,,,,
,Polo Liceale,armadio 12,volume,---,"4. La terra : 2. La struttura e l'evoluzione della terra, il clima, la meteorologia, i fenomeni atmosferici",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,506 SCI 1.4,,,,
,Polo Liceale,armadio 12,volume,---,"5. L' ambiente : il sistema ecologico, lo sviluppo sostenibile, la salvaguardia del pianeta",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,507 SCI 1.5,,,,
,Polo Liceale,armadio 12,volume,---,"6. L' energia : 1. I fondamenti dell'energetica, petrolio, gas, carbone, le fonti rinnovabili",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,508 SCI 1.6,,,,
,Polo Liceale,armadio 12,volume,---,"9. La salute : Il corpo umano e le sue funzioni, l'alimentazione, le medicine preventive e la nuova diagnostica",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,509 SCI 1.9,,,,
,Polo Liceale,armadio 12,volume,---,"10. La materia : 1. Atomi e molecole: le strutture nella fisica, nella chimica, nell'ingegneria",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,510 SCI 1.10,,,,
,Polo Liceale,armadio 12,volume,---,"11. La materia : 2. Struttura e comportamento dei nuovi materiali, le costruzioni del futuro",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,511 SCI 1.11,,,,
,Polo Liceale,armadio 12,volume,---,"12. La mente : 1. Pensiero, memoria, sogni, creatività, emozioni",Milano,F. Motta,2005,"Enciclopedia della scienza : storia, idee, tecnologie; Fondo ""Giovanni Merluzzi""",,512 SCI 1.12,,,,
,Polo Liceale,armadio 12,volume,Alberoni Francesco,L'amicizia,Milano,BUR,2010,"Fondo ""Giovanni Merluzzi""",978-88-17-03253-7,302.34 ALB 1,,,,
,Polo Liceale,armadio 12,volume,Schopenhauer Arthur,Consigli sulla felicità,Milano,Mondadori,2007,"Fondo ""Giovanni Merluzzi""",978-88-04-57152-0,170 SCH 1,,Lamparelli Claudio,,
,Polo Liceale,armadio 11,volume,---,I capolavori della poesia italiana,Milano,Club degli editori,1972,Prof. Berretta,,850,,Davico Bonino Guido,,
,Polo Liceale,armadio 11,volume,---,I segreti del codice,Milano,Sperling & Kupfer,2004,Avaiti,88-200-3772-6,800,,Burstein Dan,,
,Polo Liceale,armadio 11,volume,---,Miti e leggende degli indiani d'America,,A. Mondadori,1994,Avaiti Dalia,88-04-38874-9,[210],,"Erdoes Richard, Ortiz Alfonso",,
,Polo Liceale,armadio 11,volume,---,Scrittori italiani di oggi,Milano,Edizioni CDE,1989,Prof. Berretta,,850,,Fonseca Giovanna,,
,Polo Liceale,armadio 11,volume,---,Mompracem,,Mondadori,,Avaiti,88-04-50352-1,,,"Franchini Antonio, Parazzoli Ferruccio",,
,Polo Liceale,armadio 11,volume,---,Dizionario per immagini : francese,,Avallardi [Garzanti],1994,Russo Francesca,88-11-94802-9,,,Gasparri Domenico,,
,Polo Liceale,armadio 11,volume,---,Mneme 2007,,Lepisma,,,88-7537-064-8,800,,"Maffia Serena, Marchese Mariarosa",,
,Polo Liceale,armadio 11,volume,---,Forme di potere e struttura sociale in Italia nel Medioevo,Bologna,Il Mulino,1977,Prof. Berretta,,940,,Rossetti Gabriella,,
,Polo Liceale,armadio 11,volume,---,Forme di potere e struttura sociale in Italia e nel Medioevo,Bologna,Il Mulino,1977,Pr. Berretta,,9,,Rossetti Gabriella,,
,Polo Liceale,armadio 11,volume,---,Scrittori italiani di oggi,Milano,CDE s.p.a.,1989,Pr. Berretta,,8,,Fonseca Giovanna,,
,Polo Liceale,armadio 11,volume,---,I capolavori della poesia italiana,Milano,Club degli editori,1972,Pr. Berretta,,8,,Davico Bonino Guido,,
,Polo Liceale,armadio 11,volume,---,Letteratura italiana contemporanea,Roma,Luciano Lucarini,1979; 1980;1982,Prof. Berretta,,,,"Mariani Gaetano, Petrucciani Mario",,
,Polo Liceale,armadio 11,volume,---,Letteratura italiana contemporanea,Roma,Luciano Lucarini,1979; 1980;1982,Prof. Berretta,,,,"Mariani Gaetano, Petrucciani Mario",,
,Polo Liceale,armadio 11,volume,---,Poesie per un'antologia,Latina,Club nuova immagine,1984,Prof. Berretta,,850,,,,
,Polo Liceale,armadio 11,volume,---,Letteratura italiana contemporanea : rivista quadrimestrale di studi sul Novecento,Roma,Luciano Lucarini,,,,,,,,
,Polo Liceale,armadio 11,volume,---,I poeti di Anzio,,,,,,,,,,
,Polo Liceale,armadio 11,volume,---,Con parole di donna : Racconti al femminile in provincia di Latina,Latina,Latingrafica snc,2006,Doc. di interesse locale,,8,,,,
,Polo Liceale,armadio 11,volume,---,Con parole di donna : Racconti al femminile in provincia di Latina,Latina,Latingrafica snc,2006,Doc. di interesse locale,,8,,,,
,Polo Liceale,armadio 11,volume,---,Poesie per una Antologia,Latina,Club nuova immagine,1984,Pr. Berretta,,8,,,,
,Polo Liceale,armadio 10,volume,---,Bonnard,Ginevra ( Svizera ),Albert Skira S.A.,1964,Serie: Le goût de notre temps,,750,,Antoine Terrasse,,
,Polo Liceale,armadio 10,volume,---,Van Gogh,Milano,Rizzoli,2002,"Serie: I classici dell'arte, Vol 2; Argan Giulio Carlo ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Kandinsky,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 13; Argan Giulio Carlo ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Brueghel,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 22; Arpino Giovanni ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Brueghel,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 22; Arpino Giovanni ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Rousseau,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 37; Artieri Giovanni ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Manet,"Ginevra, Parigi, New York",Albert Skira S.A.,1955,Serie: Le goût de notre temps,,750,,Bataille Georges,,
,Polo Liceale,armadio 10,volume,---,Giotto,Ginevra ( Svizera ),Albert Skira S.A.,1960,Serie: Le goût de notre temps,,750,,Battisti Eugenio,,
,Polo Liceale,armadio 10,volume,---,Mantegna,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 18; Bellonci Maria ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Canaletto ,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 13; Berto Giuseppe ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Botticelli,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 6; Bo Carlo ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Il “discorso sul metodo” di cartesio e il problema del metodo nell'età moderna,Torino,Paravia,1996,Pennarola Rotigliano,88-395-3301-X,1,,Brianese Giorgio,,
,Polo Liceale,armadio 10,volume,---,Bosch,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 28; Buzzati Dino ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Gauguin,"Ginevra, Parigi, New York",Albert Skira S.A.,1953,Serie: Le goût de notre temps,,750,,Charles Estienne,,
,Polo Liceale,armadio 10,volume,---,Van Gogh,Ginevra ( Svizera ),Albert Skira S.A.,1953,Serie: Le goût de notre temps,,750,,"Charles Estienne, C.H. Sibert",,
,Polo Liceale,armadio 10,volume,---,Munch,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 12; Chiappini Rudy ( Presentazione di ) ",,750,,,,
,Polo Liceale,armadio 10,volume,---,Memling,Milano,Rizzoli,2005,"Serie: I classici dell'arte, Vol 62; Corti Maria ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Le Romantisme,Ginevra ( Svizera ),Albert Skira S.A.,1961,Serie: Le goût de notre temps,,750,,Courthion Pierre,,
,Polo Liceale,armadio 10,volume,---,Persefone : Variazioni sul mito,Venezia,Marsilio,2010,"Testi di: Omero, Ovidio, Claudiano, Marino, Goethe, Swinburne, Tennyson, Ritsos",978-88-317-0560-8,800,,Deidier Roberto,"Ciani Maria Grazia, Pianezzola Clemente,  Serpa Franco, Losacco Margherita, Deidier  Roberto, Crocetti Nicola Pennarola Rotigliano",
,Polo Liceale,armadio 10,volume,---,Piero della Francesca,Milano,Rizzoli,2003,"Serie: I classici dell'arte, Vol 11; Del Buono Oreste ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Bosch,Ginevra ( Svizera ),Albert Skira S.A.,1960,Serie: Le goût de notre temps,,750,,Delevoy Robert L.,,
,Polo Liceale,armadio 10,volume,---,Klimt,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 4; Dobai Johannes ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Van Der Weyden,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 53; Duckers Alexander ( Presentazione di )",,750,,,,
,Polo Liceale,armadio 10,volume,---,Miró,Milano,Rizzoli,2004,"Serie: I classici dell'arte, Vol 16; Gillo Dorfles ( Presentazione di )",,750,,,,
